lon,lat,AOD,albedo,cloud,tp,tp_local,tp_yang_match
-70.25,-45.25,0.0202391387409255,0.116341348667258,0.517059774688433,5,3,5
-69.75,-45.25,0.0246106129054009,0.124754358062329,0.559963894384051,5,3,5
-69.25,-45.25,0.0246106129054009,0.1190842745859,0.530489538268287,5,3,5
-68.75,-45.25,0.0263524599375183,0.115074104482386,0.532229235743632,5,3,5
-68.25,-45.25,0.0263524599375183,0.140191006849295,0.53553113052827,5,3,5
-67.75,-45.25,0.0303193760816308,0.130745417181537,0.519879161762681,5,3,5
-67.25,-45.25,0.0303193760816308,0.101895344476618,0.520514430940021,5,3,5
-66.75,-45.25,0.0370395343087677,0.0562657500435853,0.509794998002543,5,1,4
-66.25,-45.25,0.0370395343087677,0.0142614904215448,0.495387488879665,5,1,4
-65.75,-45.25,0.0393994560942171,0.0142614904215448,0.461057956909438,4,1,4
-74.75,-44.75,0.0518845661115232,0.0142614904215448,0.690025285656277,5,3,5
-74.25,-44.75,0.0518845661115232,0.0164954681154006,0.73809664958773,5,3,5
-73.75,-44.75,0.0463556064998989,0.0134963139132563,0.741546615794281,5,3,5
-73.25,-44.75,0.0463556064998989,0.0628924571513877,0.785371736641859,5,3,5
-72.75,-44.75,0.0365113613377385,0.201480958656477,0.803882210549651,5,3,5
-72.25,-44.75,0.0365113613377385,0.295268770002868,0.80188832294104,5,3,5
-71.75,-44.75,0.019508686759715,0.232519077928844,0.732842304515476,5,3,5
-71.25,-44.75,0.019508686759715,0.273202142774061,0.662349896815788,5,3,5
-70.75,-44.75,0.0208796889398332,0.166345296743688,0.497895322962106,5,3,5
-70.25,-44.75,0.0208796889398332,0.123169961689614,0.515787793242972,5,3,5
-69.75,-44.75,0.021902321713528,0.114692992965751,0.579145508582879,5,3,5
-69.25,-44.75,0.021902321713528,0.147707633766278,0.545744244757473,5,3,5
-68.75,-44.75,0.0235767424089183,0.136484602368138,0.532616551001437,5,3,5
-68.25,-44.75,0.0235767424089183,0.140978199396748,0.523656761115455,5,3,5
